Punto geográfico	P1. En general, en su Barrio usted se siente:	P2. Con relación a hace un año, cómo se siente usted actualmente en este Barrio	P3. En general, en su Comuna o Corregimiento usted se siente:	P4. Con relación a hace un año, cómo se siente usted actualmente en esta Comuna o Corregimiento	P5. En general, en Medellín, usted se siente:	P6. Con relación a hace un año, cómo se siente usted actualmente en Medellín
POINT (-75.5538 6.29287)	2	0	2	0	2	0
POINT (-75.5538 6.29287)	2	0	1	1	2	0
POINT (-75.5941 6.26822)	2	0	2	0	3	0
POINT (-75.5919 6.28731)	2	0	2	0	2	0
POINT (-75.5919 6.28731)	2	0	2	0	3	0
POINT (-75.5825 6.28809)	2	1	1	1	2	1
POINT (-75.5515 6.30694)	1	1	3	1	3	1
POINT (-75.6012 6.26599)	2	0	2	0	2	0
POINT (-75.538 6.2901)	2	0	3	0	3	0
POINT (-75.5506 6.30478)	2	0	2	0	2	0
POINT (-75.5825 6.28809)	2	0	2	0	3	4
POINT (-75.6245 6.24772)	2	0	2	0	2	4
POINT (-75.6245 6.24772)	2	1	1	1	1	1
POINT (-75.6245 6.24772)	3	0	3	0	3	0
POINT (-75.6245 6.24772)	2	0	2	0	3	0
POINT (-75.6193 6.26099)	2	0	2	0	1	0
POINT (-75.6034 6.27267)	2	1	2	1	2	0
POINT (-75.6165 6.25855)	2	0	2	0	3	0
POINT (-75.6191 6.26198)	2	0	2	0	3	4
POINT (-75.5752 6.28289)	2	0	2	0	3	0
POINT (-75.5752 6.28289)	3	0	3	0	3	0
POINT (-75.5825 6.28809)	3	0	4	0	3	4
POINT (-75.6301 6.2705096)	2	0	2	0	3	0
POINT (-75.6012 6.26599)	2	0	2	0	3	0
POINT (-75.5538 6.29287)	2	0	2	0	2	0
POINT (-75.5538 6.29287)	2	0	2	0	1	0
POINT (-75.5559 6.30563)	2	0	2	0	3	1
POINT (-75.6193 6.26099)	2	0	2	0	2	4
POINT (-75.6047 6.28175)	2	0	1	0	4	0
POINT (-75.6047 6.28175)	2	0	1	0	2	0
POINT (-75.5744 6.28099)	2	1	2	1	4	0
POINT (-75.5477 6.30269)	2	0	2	0	2	0
POINT (-75.5752 6.28289)	2	0	2	0	2	0
POINT (-75.6039 6.22256)	2	0	2	0	3	4
POINT (-75.5849 6.28454)	3	0	3	0	3	0
POINT (-75.5849 6.28454)	2	4	3	4	3	4
POINT (-75.6027 6.2639)	1	0	2	0	2	1
POINT (-75.5799 6.28155)	2	0	2	0	3	0
POINT (-75.6215 6.24953)	2	0	2	0	2	0
POINT (-75.6268 6.25653)	2	0	2	0	2	0
POINT (-75.6268 6.25653)	1	0	1	0	2	0
POINT (-75.6268 6.25653)	2	1	2	1	2	1
POINT (-75.625 6.25037)	2	0	2	0	3	0
POINT (-75.625 6.25037)	2	0	2	0	3	0
POINT (-75.625 6.25037)	2	0	2	1	2	0
POINT (-75.625 6.25037)	4	4	4	4	4	4
POINT (-75.625 6.25037)	2	0	2	0	3	0
POINT (-75.6307 6.2552)	2	0	2	0	2	0
POINT (-75.6307 6.2552)	2	0	2	0	3	0
POINT (-75.6307 6.2552)	2	0	2	0	3	0
POINT (-75.6307 6.2552)	2	0	2	0	2	0
POINT (-75.6307 6.2552)	2	0	2	0	3	0
POINT (-75.5844 6.30685)	2	0	2	0	0	0
POINT (-75.5844 6.30685)	3	0	2	0	3	0
POINT (-75.6034 6.27267)	3	1	2	0	3	4
POINT (-75.5646 6.30485)	2	0	2	0	2	4
POINT (-75.5646 6.30485)	1	0	2	0	3	4
POINT (-75.5922 6.20008)	2	0	2	0	3	0
POINT (-75.5922 6.20008)	2	0	2	0	2	0
POINT (-75.5922 6.20008)	3	0	3	0	4	0
POINT (-75.5922 6.20008)	2	0	2	0	3	0
POINT (-75.5922 6.20008)	4	0	4	4	4	0
POINT (-75.5922 6.20008)	1	0	2	1	2	0
POINT (-75.554 6.29708)	2	0	2	0	2	0
POINT (-75.554 6.29708)	2	0	2	0	4	4
POINT (-75.5512 6.30307)	2	0	2	0	2	0
POINT (-75.538 6.2901)	2	1	2	0	3	0
POINT (-75.5803 6.29721)	2	0	2	0	3	4
POINT (-75.5803 6.29721)	2	0	1	0	4	0
POINT (-75.5797 6.29859)	2	0	2	0	1	0
POINT (-75.6215 6.24953)	2	0	2	0	2	0
POINT (-75.547 6.2981)	2	0	2	0	2	0
POINT (-75.547 6.2981)	2	0	2	0	2	0
POINT (-75.547 6.2981)	2	0	2	0	4	0
POINT (-75.538 6.2901)	3	0	3	0	3	0
POINT (-75.6165 6.25855)	2	4	3	4	3	4
POINT (-75.5752 6.28289)	2	0	2	0	2	0
POINT (-75.5849 6.28454)	2	0	2	0	2	0
POINT (-75.5746 6.28986)	3	0	3	0	3	0
POINT (-75.5825 6.28809)	2	0	2	0	3	0
POINT (-75.5825 6.28809)	2	1	1	1	1	1
POINT (-75.5752 6.28289)	2	4	2	4	4	4
POINT (-75.5746 6.28986)	3	1	3	0	3	0
POINT (-75.603 6.26801)	2	4	2	4	3	4
POINT (-75.6216 6.26237)	1	4	2	4	2	4
POINT (-75.538 6.2901)	2	0	2	0	2	0
POINT (-75.5521 6.30554)	2	1	2	0	3	4
POINT (-75.5825 6.28809)	3	0	3	0	2	0
POINT (-75.6149 6.26446)	2	0	2	0	3	0
POINT (-75.6149 6.26446)	2	0	2	0	2	0
POINT (-75.5506 6.30478)	1	0	3	1	3	0
POINT (-75.6301 6.2705096)	2	0	3	0	4	0
POINT (-75.6301 6.2705096)	2	0	2	0	2	0
POINT (-75.6201 6.24884)	2	0	2	1	4	1
POINT (-75.6201 6.24884)	2	0	2	0	2	0
POINT (-75.554 6.29708)	2	1	1	1	2	1
POINT (-75.554 6.29708)	2	0	2	0	2	1
POINT (-75.6034 6.27267)	1	0	1	0	2	0
POINT (-75.6039 6.22256)	2	4	2	4	2	0
POINT (-75.5512 6.30307)	1	0	1	0	2	0
POINT (-75.5512 6.30307)	2	0	2	0	2	0
POINT (-75.547 6.2981)	2	0	2	0	2	0
POINT (-75.5486 6.29817)	2	0	2	0	2	0
POINT (-75.5486 6.29817)	2	0	2	0	2	0
POINT (-75.5835 6.28756)	2	0	2	0	3	4
POINT (-75.5844 6.30685)	2	0	2	0	3	0
POINT (-75.5844 6.30685)	2	0	2	0	2	0
POINT (-75.5844 6.30685)	2	0	3	4	3	4
POINT (-75.5569 6.29239)	2	0	2	0	2	0
POINT (-75.5569 6.29239)	2	1	2	1	2	1
POINT (-75.5569 6.29239)	2	0	2	1	1	0
POINT (-75.5548 6.29352)	2	1	2	0	2	0
POINT (-75.5548 6.29352)	2	1	2	0	1	0
POINT (-75.5548 6.29352)	2	0	2	0	2	0
POINT (-75.5747 6.28058)	2	0	2	0	2	0
POINT (-75.5747 6.28058)	4	0	4	0	2	0
POINT (-75.5747 6.28058)	1	1	2	1	2	0
POINT (-75.5749 6.28002)	2	0	2	1	2	0
POINT (-75.5521 6.30554)	2	0	2	0	2	0
POINT (-75.6302 6.25523)	2	0	2	0	3	4
POINT (-75.6302 6.25523)	2	1	2	0	1	1
POINT (-75.6302 6.25523)	2	0	2	0	3	0
POINT (-75.6047 6.28175)	2	0	2	0	3	0
POINT (-75.6047 6.28175)	2	0	2	0	3	0
POINT (-75.6047 6.28175)	2	0	2	4	2	1
POINT (-75.5515 6.30694)	2	0	2	0	2	0
POINT (-75.5515 6.30694)	2	0	2	0	2	0
POINT (-75.5477 6.30269)	2	0	2	0	2	0
POINT (-75.5477 6.30269)	2	0	2	0	3	1
POINT (-75.5477 6.30269)	2	0	3	0	2	0
POINT (-75.5477 6.30269)	1	0	1	0	3	0
POINT (-75.5416 6.3013)	4	4	4	4	4	4
POINT (-75.5416 6.3013)	2	0	2	0	2	0
POINT (-75.6201 6.24884)	2	0	2	0	3	0
POINT (-75.5941 6.26822)	3	0	3	0	3	0
POINT (-75.5941 6.26822)	2	0	2	0	4	0
POINT (-75.5835 6.28756)	3	0	3	0	3	0
POINT (-75.5394 6.29771)	2	0	2	1	4	0
POINT (-75.5394 6.29771)	2	0	1	0	3	0
POINT (-75.5394 6.29771)	2	0	2	0	2	0
POINT (-75.5394 6.29771)	2	1	2	0	2	0
POINT (-75.5394 6.29771)	1	0	1	0	2	0
POINT (-75.5524 6.28293)	2	0	2	0	2	0
POINT (-75.5524 6.28293)	2	0	2	0	2	0
POINT (-75.5524 6.28293)	2	0	2	0	3	0
POINT (-75.5524 6.28293)	2	0	2	0	2	0
POINT (-75.5524 6.28293)	3	4	3	4	3	4
POINT (-75.5524 6.28293)	2	0	2	0	2	1
POINT (-75.538 6.2901)	2	1	2	1	2	1
POINT (-75.6165 6.25855)	2	0	2	0	3	0
POINT (-75.5548 6.29352)	2	0	2	0	2	0
POINT (-75.5548 6.29352)	2	0	2	0	2	0
POINT (-75.6047 6.28175)	2	4	2	0	3	0
POINT (-75.5835 6.28756)	1	0	2	0	2	0
POINT (-75.5745 6.28252)	2	0	2	0	3	0
POINT (-75.6039 6.22256)	2	0	3	0	4	0
POINT (-75.5729 6.28794)	2	0	2	0	3	0
POINT (-75.6302 6.25523)	2	0	2	0	3	4
POINT (-75.6302 6.25523)	2	0	2	0	4	0
POINT (-75.6302 6.25523)	2	0	2	0	3	0
POINT (-75.5512 6.30307)	2	0	2	0	3	4
POINT (-75.5512 6.30307)	2	0	2	0	2	0
POINT (-75.5512 6.30307)	1	0	1	0	2	0
POINT (-75.6165 6.25855)	2	1	2	0	2	0
POINT (-75.6278 6.25038)	2	0	2	0	2	0
POINT (-75.6278 6.25038)	2	0	2	0	2	0
POINT (-75.6278 6.25038)	2	0	2	0	2	0
POINT (-75.6278 6.25038)	2	0	2	0	2	0
POINT (-75.6278 6.25038)	1	0	1	0	2	1
POINT (-75.6278 6.25038)	2	0	2	0	2	0
POINT (-75.6044 6.26306)	2	4	2	4	2	4
POINT (-75.5729 6.28794)	2	4	3	4	3	4
POINT (-75.603 6.26801)	2	0	2	0	2	0
POINT (-75.6149 6.26446)	2	1	2	1	2	1
POINT (-75.6149 6.26446)	2	1	2	0	2	0
POINT (-75.6265 6.2716935)	3	0	3	0	4	0
POINT (-75.6265 6.2716935)	2	0	2	0	3	0
POINT (-75.6265 6.2716935)	2	0	2	0	2	0
POINT (-75.5569 6.29239)	2	0	2	0	2	0
POINT (-75.5569 6.29239)	2	0	2	0	3	0
POINT (-75.5863 6.30957)	3	0	2	1	3	4
POINT (-75.5863 6.30957)	2	0	2	0	2	0
POINT (-75.5486 6.29817)	1	1	1	1	1	1
POINT (-75.5486 6.29817)	2	0	2	0	3	0
POINT (-75.5486 6.29817)	2	0	2	0	3	0
POINT (-75.5477 6.30269)	2	0	2	0	2	0
POINT (-75.6034 6.27267)	3	4	3	4	3	0
POINT (-75.6201 6.24884)	2	0	2	0	2	0
POINT (-75.5747 6.28058)	2	0	2	1	2	0
POINT (-75.5985 6.26789)	2	1	2	1	3	0
POINT (-75.5985 6.26789)	2	1	2	1	2	0
POINT (-75.5985 6.26789)	2	0	2	0	2	1
POINT (-75.5799 6.28155)	3	0	3	0	3	0
POINT (-75.5799 6.28155)	2	0	3	0	3	4
POINT (-75.5788 6.28245)	1	0	2	1	2	0
POINT (-75.5414 6.28956)	2	1	2	0	2	0
POINT (-75.554 6.29708)	2	1	2	0	1	0
POINT (-75.5416 6.3013)	2	0	2	0	3	0
POINT (-75.5416 6.3013)	2	1	2	1	2	1
POINT (-75.5515 6.30694)	2	0	2	0	2	0
POINT (-75.5394 6.29771)	2	0	2	0	1	1
POINT (-75.5941 6.26822)	2	0	2	0	3	0
POINT (-75.5414 6.28956)	2	0	2	0	2	0
POINT (-75.5506 6.30478)	2	0	2	0	2	0
POINT (-75.558 6.29009)	2	0	2	0	2	0
POINT (-75.5729 6.28794)	2	0	2	0	3	0
POINT (-75.5788 6.28245)	2	0	2	0	2	0
POINT (-75.603 6.26801)	4	0	4	0	4	0
POINT (-75.5468 6.30447)	2	0	2	0	3	0
POINT (-75.558 6.29009)	3	0	3	0	3	0
POINT (-75.5729 6.28794)	2	0	2	0	2	0
POINT (-75.6201 6.24884)	2	1	2	1	2	1
POINT (-75.5521 6.30554)	3	0	4	0	3	0
POINT (-75.6149 6.26446)	2	0	2	0	3	4
POINT (-75.6149 6.26446)	3	0	3	0	3	4
POINT (-75.5468 6.30447)	2	0	1	0	3	0
POINT (-75.558 6.29009)	2	0	1	0	3	4
POINT (-75.6201 6.24884)	1	1	1	1	2	0
POINT (-75.5729 6.28794)	2	0	2	0	2	0
POINT (-75.5414 6.28956)	2	0	2	0	2	0
POINT (-75.603 6.26801)	2	0	2	0	3	0
POINT (-75.6085 6.27438)	2	0	2	1	2	1
POINT (-75.5416 6.3013)	2	0	2	0	2	0
POINT (-75.5416 6.3013)	2	0	2	0	2	0
POINT (-75.5456 6.29666)	2	0	2	0	2	0
POINT (-75.5449 6.27989)	2	1	3	1	3	0
POINT (-75.5449 6.27989)	2	1	2	1	1	1
POINT (-75.5449 6.27989)	2	0	2	0	3	0
POINT (-75.5546 6.28996)	1	0	2	0	3	1
POINT (-75.5375 6.28886)	1	1	2	1	1	1
POINT (-75.5788 6.28245)	2	1	2	0	2	0
POINT (-75.558 6.29009)	2	1	1	1	2	1
POINT (-75.5515 6.30694)	2	0	2	1	2	0
POINT (-75.5515 6.30694)	3	0	2	0	3	0
POINT (-75.5452 6.28252)	2	0	3	4	3	0
POINT (-75.5486 6.29817)	2	0	2	0	2	0
POINT (-75.5467 6.29784)	2	1	2	0	2	0
POINT (-75.5467 6.29784)	2	0	2	0	2	0
POINT (-75.5467 6.29784)	1	0	2	0	3	0
POINT (-75.5468 6.30447)	2	0	2	0	2	0
POINT (-75.5503 6.30066)	2	0	2	0	3	4
POINT (-75.6241 6.24913)	2	1	2	1	3	1
POINT (-75.6241 6.24913)	2	0	2	0	2	0
POINT (-75.5985 6.26789)	2	1	0	0	4	0
POINT (-75.5501 6.29638)	2	0	2	0	2	1
POINT (-75.5501 6.29638)	2	1	2	1	2	0
POINT (-75.5501 6.29638)	2	0	2	0	2	0
POINT (-75.5524 6.29529)	2	1	3	1	3	0
POINT (-75.5524 6.29529)	3	0	3	0	3	0
POINT (-75.5524 6.29529)	2	0	2	0	2	0
POINT (-75.5729 6.28794)	0	0	0	0	3	0
POINT (-75.5404 6.30068)	1	0	2	0	2	4
POINT (-75.6228 6.24477)	2	0	2	0	2	0
POINT (-75.555 6.29597)	2	0	2	0	3	4
POINT (-75.555 6.29597)	3	0	4	0	4	0
POINT (-75.5414 6.28956)	2	1	2	0	4	4
POINT (-75.5452 6.28252)	2	0	2	0	2	0
POINT (-75.6215 6.24953)	2	0	2	0	2	0
POINT (-75.5747 6.28058)	2	1	2	1	4	0
POINT (-75.5747 6.28058)	2	0	2	0	3	4
POINT (-75.5749 6.28002)	2	0	2	0	3	0
POINT (-75.5749 6.28002)	2	0	2	0	2	0
POINT (-75.5721 6.30394)	2	4	2	4	2	0
POINT (-75.5721 6.30394)	3	0	3	0	3	0
POINT (-75.5721 6.30394)	2	0	3	1	3	1
POINT (-75.5721 6.30394)	2	0	2	0	2	4
POINT (-75.5721 6.30394)	2	0	3	0	2	0
POINT (-75.603 6.26801)	2	0	2	0	3	0
POINT (-75.5375 6.28886)	2	0	2	0	3	0
POINT (-75.555 6.29597)	2	1	1	1	2	1
POINT (-75.5482 6.29443)	2	0	2	0	2	0
POINT (-75.5482 6.29443)	2	0	2	0	2	0
POINT (-75.5482 6.29443)	2	0	2	0	2	0
POINT (-75.5482 6.29443)	2	0	2	0	2	0
POINT (-75.5467 6.29784)	2	1	2	0	2	0
POINT (-75.6044 6.26306)	2	0	2	0	4	4
POINT (-75.6044 6.26306)	2	1	2	0	3	4
POINT (-75.5428 6.29886)	1	0	4	0	3	0
POINT (-75.5428 6.29886)	1	0	2	0	3	0
POINT (-75.5428 6.29886)	2	0	2	0	3	0
POINT (-75.5788 6.28245)	2	1	4	0	4	1
POINT (-75.5577 6.29623)	2	0	3	0	3	0
POINT (-75.6228 6.24477)	2	0	2	0	2	0
POINT (-75.5427 6.30284)	2	0	2	0	2	0
POINT (-75.5427 6.30284)	2	4	2	0	1	0
POINT (-75.5427 6.30284)	2	0	3	0	3	0
POINT (-75.6241 6.24913)	2	0	2	1	2	0
POINT (-75.5501 6.29638)	2	0	2	0	3	0
POINT (-75.5501 6.29638)	2	0	2	0	2	0
POINT (-75.5452 6.28252)	2	1	2	0	2	0
POINT (-75.6158 6.27418)	2	0	2	0	4	0
POINT (-75.6158 6.27418)	2	0	2	0	2	1
POINT (-75.5414 6.28956)	2	0	1	0	3	0
POINT (-75.5449 6.27989)	3	4	3	0	3	4
POINT (-75.5449 6.27989)	2	0	2	0	3	0
POINT (-75.5375 6.28886)	2	1	2	0	2	0
POINT (-75.5375 6.28886)	1	0	1	0	1	0
POINT (-75.6158 6.27418)	2	0	2	0	2	0
POINT (-75.5375 6.28886)	2	1	4	1	2	0
POINT (-75.5414 6.28956)	2	0	2	0	2	0
POINT (-75.5404 6.30068)	2	1	1	1	2	0
POINT (-75.5404 6.30068)	2	1	2	0	2	0
POINT (-75.6099 6.25763)	2	0	2	0	2	0
POINT (-75.6099 6.25763)	2	0	3	4	3	0
POINT (-75.6048 6.25769)	2	0	2	0	2	0
POINT (-75.5521 6.30554)	2	0	2	1	1	0
POINT (-75.5656 6.3067)	1	0	1	0	2	0
POINT (-75.5468 6.30447)	2	0	2	0	3	4
POINT (-75.5503 6.30066)	2	1	2	0	2	0
POINT (-75.6299 6.25801)	2	1	2	1	3	4
POINT (-75.603 6.26801)	1	0	2	0	2	0
POINT (-75.5376 6.28798)	3	0	3	0	3	0
POINT (-75.555 6.29597)	2	0	2	0	3	0
POINT (-75.5546 6.28996)	2	0	2	0	3	0
POINT (-75.5546 6.28996)	2	0	2	0	2	0
POINT (-75.5456 6.29666)	2	0	2	0	2	0
POINT (-75.5501 6.29638)	2	0	2	1	2	1
POINT (-75.5376 6.28798)	2	0	4	0	2	0
POINT (-75.5375 6.28886)	2	1	2	1	2	1
POINT (-75.5665 6.30688)	2	0	3	4	3	0
POINT (-75.5477 6.30543)	2	0	2	0	3	4
POINT (-75.6228 6.24477)	2	1	2	1	3	1
POINT (-75.5524 6.29529)	2	0	2	0	2	0
POINT (-75.6191 6.26198)	2	0	2	0	3	4
POINT (-75.6191 6.26198)	2	0	2	0	4	4
POINT (-75.6191 6.26198)	2	0	2	0	2	0
POINT (-75.6191 6.26198)	2	0	2	1	3	0
POINT (-75.6191 6.26198)	2	0	3	0	3	0
POINT (-75.6085 6.27438)	3	0	4	0	4	0
POINT (-75.555 6.29597)	2	1	1	1	2	0
POINT (-75.5521 6.30554)	2	1	2	1	2	1
POINT (-75.5503 6.30066)	2	0	2	0	2	0
POINT (-75.5452 6.28252)	2	0	3	4	2	4
POINT (-75.5452 6.28252)	2	0	2	1	2	1
POINT (-75.5452 6.28252)	3	4	2	1	1	0
POINT (-75.5665 6.30688)	2	0	2	0	2	0
POINT (-75.6228 6.24477)	2	0	2	0	2	0
POINT (-75.6044 6.26306)	3	0	3	0	4	0
POINT (-75.555 6.29597)	2	0	2	0	2	0
POINT (-75.5477 6.30543)	1	0	2	0	2	0
POINT (-75.5376 6.28798)	3	1	2	1	2	1
POINT (-75.5387 6.29935)	2	0	1	1	2	1
POINT (-75.5387 6.29935)	2	0	2	0	2	0
POINT (-75.5376 6.28798)	2	4	2	0	3	0
POINT (-75.6122 6.2671)	2	1	2	1	2	1
POINT (-75.6122 6.2671)	2	1	2	1	2	1
POINT (-75.5524 6.29529)	1	0	1	0	2	0
POINT (-75.5941 6.26822)	1	0	2	0	3	0
POINT (-75.5665 6.30688)	2	0	2	0	2	0
POINT (-75.5546 6.28996)	2	4	2	0	3	0
POINT (-75.5985 6.26789)	2	0	2	0	3	1
POINT (-75.6085 6.27438)	2	0	2	0	3	0
POINT (-75.5801 6.30691)	2	0	2	0	2	0
POINT (-75.5521 6.30554)	2	0	2	0	2	0
POINT (-75.5503 6.30066)	2	1	2	1	1	1
POINT (-75.5749 6.28002)	3	0	4	0	3	4
POINT (-75.5376 6.28798)	2	0	2	0	2	0
POINT (-75.5376 6.28798)	2	0	2	0	2	0
POINT (-75.5404 6.30068)	2	0	1	0	2	0
POINT (-75.5404 6.30068)	2	0	2	0	2	0
POINT (-75.5488 6.29499)	2	0	2	0	2	0
POINT (-75.5488 6.29499)	2	4	2	4	2	4
POINT (-75.5488 6.29499)	2	0	2	0	2	0
POINT (-75.5488 6.29499)	2	0	2	0	2	0
POINT (-75.5467 6.29784)	2	0	2	0	2	0
POINT (-75.5467 6.29784)	2	0	2	0	3	0
POINT (-75.5567 6.30036)	2	0	2	0	2	0
POINT (-75.5567 6.30036)	2	0	2	0	2	0
POINT (-75.5428 6.29886)	1	1	2	1	1	1
POINT (-75.5428 6.29886)	2	0	2	0	2	4
POINT (-75.5428 6.29886)	2	0	2	0	2	0
POINT (-75.6166 6.27373)	2	0	2	0	3	0
POINT (-75.6166 6.27373)	2	0	2	0	2	0
POINT (-75.6166 6.27373)	3	0	4	0	4	0
POINT (-75.5546 6.28996)	2	1	1	1	1	0
POINT (-75.5503 6.30066)	3	0	3	0	3	0
POINT (-75.5788 6.28245)	2	0	2	0	2	1
POINT (-75.5788 6.28245)	2	0	3	1	4	4
POINT (-75.5577 6.29623)	3	0	3	0	3	0
POINT (-75.5577 6.29623)	2	0	2	0	2	0
POINT (-75.558 6.29009)	2	4	3	0	2	0
POINT (-75.5496 6.29759)	2	1	2	1	2	1
POINT (-75.5496 6.29759)	2	0	2	1	2	1
POINT (-75.5496 6.29759)	2	0	2	0	2	0
POINT (-75.6228 6.24477)	1	0	3	0	3	0
POINT (-75.5456 6.30163)	2	1	2	1	3	0
POINT (-75.5477 6.30543)	2	0	2	0	2	0
POINT (-75.6122 6.2671)	2	0	2	0	3	0
POINT (-75.5488 6.29499)	2	0	2	0	3	0
POINT (-75.5949 6.28359)	2	0	2	0	2	0
POINT (-75.5477 6.30543)	2	0	2	0	3	0
POINT (-75.5427 6.30284)	2	0	2	0	2	0
POINT (-75.5427 6.30284)	2	0	2	0	2	0
POINT (-75.5427 6.30284)	2	0	2	0	2	0
POINT (-75.5503 6.30066)	2	0	2	1	2	1
POINT (-75.5546 6.28996)	2	0	2	0	2	0
POINT (-75.5665 6.30688)	2	0	3	0	3	0
POINT (-75.558 6.29009)	2	1	1	1	1	1
POINT (-75.5515 6.30603)	2	0	2	0	2	0
POINT (-75.5502 6.28881)	2	0	2	1	2	1
POINT (-75.6228 6.24477)	3	0	4	4	1	0
POINT (-75.5527 6.29392)	2	1	2	1	3	0
POINT (-75.5527 6.29392)	2	0	2	0	3	0
POINT (-75.594 6.28328)	2	0	2	1	2	0
POINT (-75.5456 6.29666)	2	1	2	0	4	4
POINT (-75.6085 6.27438)	2	0	2	0	2	0
POINT (-75.6085 6.27438)	2	0	2	0	2	0
POINT (-75.6085 6.27438)	2	0	2	0	3	0
POINT (-75.5502 6.28881)	4	0	4	0	4	0
POINT (-75.5502 6.28881)	2	0	2	0	2	0
POINT (-75.5458 6.28212)	3	4	3	0	3	0
POINT (-75.5458 6.28212)	1	0	2	0	3	0
POINT (-75.5458 6.28212)	2	0	2	0	2	0
POINT (-75.5458 6.28212)	2	0	2	0	2	0
POINT (-75.5458 6.28212)	2	0	2	0	2	0
POINT (-75.5458 6.28212)	2	1	2	1	2	0
POINT (-75.5524 6.29529)	2	1	1	1	2	1
POINT (-75.5496 6.29759)	2	0	2	0	2	0
POINT (-75.5496 6.29759)	1	0	2	0	2	0
POINT (-75.5496 6.29759)	2	1	2	0	1	1
POINT (-75.5568 6.2887)	2	0	2	0	2	0
POINT (-75.5477 6.30543)	2	0	2	0	2	0
POINT (-75.5499 6.30088)	3	0	3	0	3	0
POINT (-75.5387 6.29935)	2	0	1	0	2	0
POINT (-75.5387 6.29935)	2	0	2	0	2	0
POINT (-75.5665 6.30688)	2	0	2	0	2	1
POINT (-75.5527 6.29392)	1	0	2	0	2	4
POINT (-75.6241 6.24913)	2	0	2	0	3	4
POINT (-75.6241 6.24913)	2	0	2	0	2	0
POINT (-75.6241 6.24913)	2	1	2	1	2	0
POINT (-75.6162 6.25722)	2	0	2	0	3	0
POINT (-75.5611 6.28795)	2	0	2	0	2	0
POINT (-75.5449 6.27989)	3	0	4	0	4	0
POINT (-75.5446 6.27988)	2	0	2	1	2	1
POINT (-75.5553 6.28942)	1	0	2	0	2	0
POINT (-75.5564 6.29481)	2	0	2	0	2	0
POINT (-75.5553 6.28942)	4	0	2	0	2	1
POINT (-75.5499 6.30088)	1	0	2	0	2	0
POINT (-75.5499 6.30088)	2	0	2	0	3	0
POINT (-75.5577 6.29623)	2	1	1	0	1	1
POINT (-75.5577 6.29623)	2	0	2	0	2	4
POINT (-75.5577 6.29623)	2	0	2	0	2	0
POINT (-75.5564 6.29481)	2	4	2	1	3	1
POINT (-75.5749 6.28002)	2	0	1	0	4	0
POINT (-75.5749 6.28002)	3	1	3	0	2	0
POINT (-75.5502 6.28881)	2	0	2	0	3	4
POINT (-75.5387 6.29935)	2	4	3	0	3	0
POINT (-75.5499 6.30088)	2	0	1	0	2	0
POINT (-75.5456 6.29666)	2	0	2	0	4	0
POINT (-75.5456 6.29666)	2	0	2	0	2	0
POINT (-75.6166 6.27373)	2	1	2	1	2	1
POINT (-75.6211 6.2507)	1	0	2	0	2	0
POINT (-75.6211 6.2507)	2	1	2	0	2	0
POINT (-75.5985 6.26789)	2	0	2	0	2	0
POINT (-75.5502 6.28881)	2	0	2	0	3	0
POINT (-75.5387 6.29935)	2	0	2	0	2	0
POINT (-75.5801 6.30691)	3	0	3	0	4	0
POINT (-75.5801 6.30691)	1	1	1	1	1	1
POINT (-75.5801 6.30691)	2	0	2	0	3	0
POINT (-75.6166 6.27373)	2	0	1	0	1	1
POINT (-75.5456 6.30163)	2	0	1	0	2	0
POINT (-75.5502 6.28881)	2	1	2	1	2	0
POINT (-75.594 6.28328)	2	0	2	0	2	0
POINT (-75.594 6.28328)	2	0	2	0	2	0
POINT (-75.5585 6.29794)	2	0	2	0	2	0
POINT (-75.5585 6.29794)	2	1	2	0	2	0
POINT (-75.6166 6.27373)	2	0	1	0	2	0
POINT (-75.6197 6.24535)	2	4	2	0	2	0
POINT (-75.5404 6.30068)	1	0	2	0	3	0
POINT (-75.6167 6.26097)	2	0	2	0	3	0
POINT (-75.6299 6.25801)	2	1	1	1	3	0
POINT (-75.6224 6.25681)	2	0	2	0	2	0
POINT (-75.5593 6.28316)	2	0	2	0	2	0
POINT (-75.5884 6.28982)	2	0	2	0	4	0
POINT (-75.6084 6.27387)	2	1	2	1	3	4
POINT (-75.6069 6.22468)	2	4	3	4	2	0
POINT (-75.5568 6.2887)	2	0	2	0	2	0
POINT (-75.6211 6.2507)	2	1	1	1	1	1
POINT (-75.5477 6.30543)	2	0	2	0	3	0
POINT (-75.5397 6.27051)	2	1	2	1	2	0
POINT (-75.5397 6.27051)	2	0	2	0	2	0
POINT (-75.5884 6.28982)	2	0	2	0	2	0
POINT (-75.5585 6.29794)	1	0	2	0	3	4
POINT (-75.5585 6.29794)	2	0	2	0	3	0
POINT (-75.5593 6.28316)	2	0	2	0	1	1
POINT (-75.6208 6.25376)	2	0	2	0	3	0
POINT (-75.6208 6.25376)	4	0	1	0	4	0
POINT (-75.6208 6.25376)	2	4	4	4	3	4
POINT (-75.5388 6.29956)	2	0	2	0	2	0
POINT (-75.5863 6.30957)	2	0	2	0	2	0
POINT (-75.5863 6.30957)	3	4	3	1	2	1
POINT (-75.5801 6.30691)	2	0	2	0	3	0
POINT (-75.5611 6.28795)	2	0	2	0	4	0
POINT (-75.6242 6.24877)	2	1	1	0	2	0
